iter	Passed	Remaining
0	0	34
1	0	34
2	0	34
3	1	35
4	1	35
5	1	36
6	2	37
7	2	37
8	2	37
9	3	38
10	3	38
11	4	38
12	4	38
13	4	38
14	5	38
15	5	38
16	5	38
17	6	37
18	6	37
19	6	36
20	7	36
21	7	35
22	7	35
23	8	34
24	8	34
25	8	34
26	9	33
27	9	33
28	9	32
29	9	32
30	10	32
31	10	31
32	10	31
33	11	30
34	11	30
35	11	29
36	11	29
37	12	29
38	12	28
39	12	28
40	13	27
41	13	27
42	13	26
43	13	26
44	14	25
45	14	25
46	14	25
47	14	24
48	15	24
49	15	23
50	15	23
51	15	22
52	15	22
53	16	22
54	16	21
55	16	21
56	16	21
57	17	20
58	17	20
59	17	20
60	17	19
61	18	19
62	18	18
63	18	18
64	18	18
65	19	17
66	19	17
67	19	17
68	19	16
69	20	16
70	20	16
71	20	15
72	20	15
73	21	15
74	21	15
75	21	14
76	21	14
77	22	14
78	22	13
79	22	13
80	22	13
81	22	12
82	23	12
83	23	12
84	23	11
85	23	11
86	23	11
87	24	11
88	24	10
89	24	10
90	24	10
91	25	9
92	25	9
93	25	9
94	25	8
95	26	8
96	26	8
97	26	8
98	26	7
99	27	7
100	27	7
101	27	7
102	27	6
103	28	6
104	28	6
105	28	5
106	28	5
107	28	5
108	29	5
109	29	4
110	29	4
111	29	4
112	30	4
113	30	3
114	30	3
115	30	3
116	31	2
117	31	2
118	31	2
119	31	2
120	32	1
121	32	1
122	32	1
123	32	1
124	33	0
125	33	0
126	33	0
127	33	0
