iter	Passed	Remaining
0	0	317
1	0	275
2	0	313
3	1	316
4	1	321
5	1	315
6	2	310
7	2	308
8	2	305
9	3	300
10	3	299
11	3	295
12	3	294
13	4	292
14	4	288
15	4	285
16	4	284
17	5	281
18	5	279
19	5	277
20	5	274
21	6	271
22	6	268
23	6	265
24	6	263
25	6	261
26	7	259
27	7	257
28	7	255
29	7	254
30	8	252
31	8	250
32	8	249
33	8	248
34	8	246
35	9	245
36	9	244
37	9	243
38	9	242
39	10	241
40	10	240
41	10	239
42	10	239
43	10	238
44	11	237
45	11	236
46	11	235
47	11	234
48	12	233
49	12	233
50	12	232
51	12	231
52	12	230
53	13	229
54	13	228
55	13	228
56	13	228
57	14	227
58	14	227
59	14	226
60	14	226
61	14	225
62	15	224
63	15	224
64	15	223
65	15	222
66	15	222
67	16	221
68	16	221
69	16	220
70	16	220
71	17	220
72	17	219
73	17	219
74	17	218
75	17	218
76	18	218
77	18	217
78	18	217
79	18	216
80	19	216
81	19	215
82	19	214
83	19	213
84	19	213
85	20	213
86	20	212
87	20	212
88	20	211
89	20	211
90	21	211
91	21	210
92	21	210
93	21	209
94	21	209
95	22	209
96	22	208
97	22	208
98	22	208
99	23	207
100	23	207
101	23	207
102	23	206
103	23	206
104	24	206
105	24	205
106	24	205
107	24	206
108	25	205
109	25	205
110	25	205
111	25	204
112	26	204
113	26	204
114	26	204
115	26	203
116	26	202
117	27	202
118	27	202
119	27	202
120	27	201
121	27	201
122	28	201
123	28	200
124	28	200
125	28	199
126	28	199
127	29	199
128	29	199
129	29	198
130	29	198
131	30	198
132	30	198
133	30	197
134	30	197
135	31	197
136	31	196
137	31	196
138	31	196
139	31	196
140	32	195
141	32	194
142	32	194
143	32	194
144	32	194
145	33	193
146	33	193
147	33	193
148	33	192
149	34	192
150	34	192
151	34	192
152	34	191
153	34	191
154	35	191
155	35	190
156	35	190
157	35	190
158	35	189
159	36	189
160	36	188
161	36	188
162	36	188
163	36	188
164	37	187
165	37	187
166	37	187
167	37	186
168	37	186
169	38	186
170	38	186
171	38	185
172	38	185
173	39	185
174	39	185
175	39	184
176	39	184
177	39	184
178	40	184
179	40	183
180	40	183
181	40	183
182	41	183
183	41	182
184	41	182
185	41	182
186	41	182
187	42	181
188	42	181
189	42	181
190	42	181
191	42	180
192	43	180
193	43	180
194	43	179
195	43	179
196	44	179
197	44	179
198	44	178
199	44	178
200	44	178
201	45	178
202	45	177
203	45	177
204	45	177
205	45	177
206	46	176
207	46	176
208	46	176
209	46	175
210	46	175
211	47	175
212	47	175
213	47	174
214	47	174
215	48	174
216	48	174
217	48	173
218	48	173
219	48	173
220	49	173
221	49	172
222	49	172
223	49	172
224	49	172
225	50	171
226	50	171
227	50	171
228	51	172
229	51	171
230	51	171
231	51	171
232	51	171
233	52	170
234	52	170
235	52	170
236	52	170
237	53	169
238	53	169
239	53	169
240	53	169
241	53	168
242	54	168
243	54	168
244	54	167
245	54	167
246	54	167
247	55	167
248	55	167
249	55	166
250	55	166
251	56	166
252	56	165
253	56	165
254	56	165
255	56	165
256	57	165
257	57	164
258	57	164
259	57	164
260	57	164
261	58	163
262	58	163
263	58	163
264	58	163
265	59	162
266	59	162
267	59	162
268	59	162
269	59	161
270	60	161
271	60	161
272	60	161
273	60	161
274	61	161
275	61	160
276	61	160
277	61	160
278	62	160
279	62	160
280	62	160
281	62	159
282	63	159
283	63	159
284	63	159
285	63	159
286	63	158
287	64	158
288	64	158
289	64	158
290	64	158
291	65	158
292	65	157
293	65	157
294	65	157
295	66	157
296	66	157
297	66	156
298	66	156
299	67	156
300	67	156
301	67	156
302	67	156
303	68	155
304	68	155
305	68	155
306	68	155
307	68	154
308	69	154
309	69	154
310	69	154
311	69	153
312	70	153
313	70	153
314	70	153
315	70	153
316	70	152
317	71	152
318	71	152
319	71	152
320	71	151
321	72	151
322	72	151
323	72	151
324	72	151
325	72	150
326	73	150
327	73	150
328	73	150
329	73	149
330	74	149
331	74	149
332	74	149
333	74	148
334	74	148
335	75	148
336	75	148
337	75	148
338	75	147
339	76	147
340	76	147
341	76	147
342	76	147
343	77	147
344	77	146
345	77	146
346	77	146
347	78	146
348	78	146
349	78	145
350	78	145
351	78	145
352	79	145
353	79	144
354	79	144
355	79	144
356	80	144
357	80	143
358	80	143
359	80	143
360	80	143
361	81	142
362	81	142
363	81	142
364	81	142
365	81	142
366	82	141
367	82	141
368	82	141
369	82	141
370	83	140
371	83	140
372	83	140
373	83	140
374	83	139
375	84	139
376	84	139
377	84	139
378	84	138
379	84	138
380	85	138
381	85	138
382	85	138
383	85	137
384	86	137
385	86	137
386	86	137
387	87	137
388	87	137
389	87	137
390	88	137
391	88	137
392	88	136
393	88	136
394	89	136
395	89	136
396	89	136
397	89	135
398	90	135
399	90	135
400	90	135
401	91	135
402	91	135
403	91	135
404	91	134
405	92	134
406	92	134
407	92	134
408	92	134
409	93	134
410	93	133
411	93	133
412	93	133
413	94	133
414	94	133
415	94	133
416	95	132
417	95	132
418	95	132
419	95	132
420	96	132
421	96	131
422	96	131
423	96	131
424	97	131
425	97	131
426	97	130
427	97	130
428	97	130
429	98	130
430	98	129
431	98	129
432	98	129
433	99	129
434	99	129
435	99	128
436	99	128
437	100	128
438	100	128
439	100	127
440	100	127
441	100	127
442	101	127
443	101	126
444	101	126
445	101	126
446	102	126
447	102	126
448	102	125
449	102	125
450	102	125
451	103	125
452	103	124
453	103	124
454	103	124
455	103	124
456	104	123
457	104	123
458	104	123
459	104	123
460	105	122
461	105	122
462	105	122
463	105	122
464	105	121
465	106	121
466	106	121
467	106	121
468	106	121
469	107	120
470	107	120
471	107	120
472	107	120
473	107	119
474	108	119
475	108	119
476	108	119
477	108	118
478	109	118
479	109	118
480	109	118
481	109	117
482	109	117
483	110	117
484	110	117
485	110	116
486	110	116
487	110	116
488	111	116
489	111	115
490	111	115
491	111	115
492	112	115
493	112	115
494	112	114
495	112	114
496	112	114
497	113	114
